frame,particle,x,y,z,mass
21,12,0.165586,-0.624667,-0.01392,1.0
21,13,-2.09012,0.951224,-0.0700261,1.0
21,14,-0.230399,-1.95248,0.00470267,1.0
21,15,-0.206714,1.15378,-0.06679,1.0
22,1,-0.918815,0.603333,0.024623,1.0
22,2,1.11067,1.90542,0.0437555,1.0
22,3,-0.346394,2.69937,0.0766382,1.0
22,4,2.09174,0.814077,0.096484,1.0
22,5,-1.35871,-0.588119,0.0245427,1.0
22,6,-1.59259,-2.66097,-0.101022,1.0
22,7,0.727044,0.205967,0.0459216,1.0
22,8,-0.0801035,-0.515117,0.0617089,1.0
22,9,0.253777,-3.28381,0.0999611,1.0
22,10,-1.1012,-0.795839,0.0099506,1.0
22,11,1.0177,-1.34909,-0.0179528,1.0
22,12,0.12441,-0.622368,-0.0602794,1.0
22,13,-2.13593,0.969602,0.0287437,1.0
22,14,-0.180326,-1.95747,-0.0987617,1.0
22,15,-0.187818,1.19238,0.0795169,1.0
23,1,-0.923051,0.619865,-0.0300208,1.0
23,2,1.14015,1.89571,0.0559242,1.0
23,3,-0.327206,2.7277,-0.0513768,1.0
23,4,2.08652,0.833431,-0.0526365,1.0
23,5,-1.33945,-0.569461,-0.0256376,1.0
23,6,-1.65466,-2.65656,0.0853408,1.0
23,7,0.738029,0.247133,0.0513693,1.0
23,8,-0.0302632,-0.495011,0.0912826,1.0
23,9,0.213475,-3.25819,0.0792089,1.0
23,10,-1.08113,-0.808617,0.0667102,1.0
23,11,1.00234,-1.35199,0.00782955,1.0
23,12,0.0790303,-0.614298,-0.109436,1.0
23,13,-2.18286,0.987857,-0.072719,1.0
23,14,-0.137942,-1.96684,-0.000760059,1.0
23,15,-0.166016,1.23633,0.028674,1.0
24,1,-0.922595,0.638183,-0.0850284,1.0
24,2,1.16278,1.88602,0.0668322,1.0
24,3,-0.303636,2.75349,0.0216162,1.0
24,4,2.07669,0.851627,-0.000741225,1.0
24,5,-1.32937,-0.557842,-0.0786286,1.0
24,6,-1.70846,-2.64491,0.0740015,1.0
24,7,0.763545,0.302891,0.0568548,1.0
24,8,0.0261598,-0.473187,-0.0783479,1.0
24,9,0.174545,-3.23287,0.0580365,1.0
24,10,-1.08349,-0.828806,-0.0763917,1.0
24,11,1.00425,-1.35985,0.0337565,1.0
24,12,0.0312512,-0.601725,0.0389887,1.0
24,13,-2.22973,1.00455,0.0269302,1.0
24,14,-0.105643,-1.98019,0.0970736,1.0
24,15,-0.14132,1.28614,-0.0212404,1.0
25,1,-0.918616,0.658502,0.0596154,1.0
25,2,1.17868,1.87617,0.0777492,1.0
25,3,-0.277454,2.77576,-0.106124,1.0
25,4,2.06503,0.866896,0.051435,1.0
25,5,-1.32933,-0.551604,0.0640753,1.0
25,6,-1.75321,-2.62577,0.0595424,1.0
25,7,0.801684,0.368859,0.0661368,1.0
25,8,0.085096,-0.452219,-0.0491646,1.0
25,9,0.13298,-3.2098,0.0376431,1.0
25,10,-1.10838,-0.854958,-0.0197323,1.0
25,11,1.02146,-1.3709,0.060607,1.0
25,12,-0.015604,-0.582863,-0.00857959,1.0
25,13,-2.27286,1.01966,-0.0716685,1.0
25,14,-0.0833672,-1.99301,-0.00570805,1.0
25,15,-0.116344,1.34077,0.130293,1.0
26,1,-0.913999,0.678219,0.00190482,1.0
26,2,1.18845,1.86814,0.0894602,1.0
26,3,-0.250725,2.79405,-0.0348028,1.0
26,4,2.05654,0.875226,0.103845,1.0
26,5,-1.33684,-0.553837,0.00692508,1.0
